Outcome,number_of_internships,primary_major,Gender,primary_college,Outcome_binary,Internship_binary
Working,2,Medieval Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Government,Male,College and Graduate School of Arts & Sciences,1,0
Not Seeking,2,Architecture,Male,School of Architecture,0,1
Continuing Education,1,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,0,1
Working,1,Psychology,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,1,1
Military,0,German,Female,College and Graduate School of Arts & Sciences,0,0
Working,2,Engineering - Civil Engineering,Male,School of Engineering & Applied Science,1,1
Working,3,Global Studies - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,0,1
Working,0,Education - Kinesiology,Female,School of Education and Human Development,1,0
Working,2,Engineering - Computer Engineering,Male,School of Engineering & Applied Science,1,1
Continuing Education,0,Education - Kinesiology,Female,School of Education and Human Development,0,0
Working,1,Education - Kinesiology,Female,School of Education and Human Development,1,1
Working,0,Mathematics,Female,College and Graduate School of Arts & Sciences,1,0
Working,1,Environmental Sciences,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Psychology,Male,College and Graduate School of Arts & Sciences,1,0
Working,1,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Working,1,Engineering - Chemical Engineering,Female,School of Engineering & Applied Science,1,1
Continuing Education,0,Education - Kinesiology,Female,School of Education and Human Development,0,0
Working,3,Foreign Affairs,Male,College and Graduate School of Arts & Sciences,1,1
Working,0,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,1,0
Working,1,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,1
Working,3,Government,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,2,English,Female,College and Graduate School of Arts & Sciences,0,1
Working,1,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,3,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,3,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,3,Architecture,Male,School of Architecture,1,1
Continuing Education,1,History,Female,College and Graduate School of Arts & Sciences,0,1
Continuing Education,2,Economics,Male,College and Graduate School of Arts & Sciences,0,1
Working,3,Foreign Affairs,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Economics,Female,College and Graduate School of Arts & Sciences,1,1
Working,3,Japanese Language & Literature - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Engineering - Systems Engineering,Male,School of Engineering & Applied Science,1,1
Continuing Education,0,Art - Studio Art,Female,College and Graduate School of Arts & Sciences,0,0
Working,1,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,1
Working,0,Psychology,Female,College and Graduate School of Arts & Sciences,1,0
Working,1,Mathematics,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,2,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,0,1
Working,1,Education - Kinesiology,Female,School of Education and Human Development,1,1
Working,2,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,0,American Studies - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,0,0
Continuing Education,0,Education - Kinesiology,Female,School of Education and Human Development,0,0
Continuing Education,3,Biology,Female,College and Graduate School of Arts & Sciences,0,1
Continuing Education,1,Economics,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Biology,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Media Studies - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Working,1,Engineering - Biomedical Engineering,Male,School of Engineering & Applied Science,1,1
Working,2,Engineering - Civil Engineering,Male,School of Engineering & Applied Science,1,1
Working,2,Government,Male,College and Graduate School of Arts & Sciences,1,1
Working,3,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,1,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,0
Continuing Education,1,Economics,Male,College and Graduate School of Arts & Sciences,0,1
Continuing Education,1,Statistics,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Architecture,Female,School of Architecture,1,1
Working,0,Neuroscience,Female,College and Graduate School of Arts & Sciences,1,0
Continuing Education,1,Education - Kinesiology,Male,School of Education and Human Development,0,1
Working,1,Economics,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,0,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,0,0
Continuing Education,2,English,Female,College and Graduate School of Arts & Sciences,0,1
Continuing Education,2,Engineering - Chemical Engineering,Male,School of Engineering & Applied Science,0,1
Continuing Education,1,Engineering - Biomedical Engineering,Female,School of Engineering & Applied Science,0,1
Working,2,Global Studies - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Spanish,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,1,Engineering - Mechanical Engineering,Female,School of Engineering & Applied Science,0,1
Working,1,Engineering - Computer Engineering,Male,School of Engineering & Applied Science,1,1
Continuing Education,1,Art - Art History,Male,College and Graduate School of Arts & Sciences,0,1
Continuing Education,0,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,0
Working,3,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,1
Working,2,Education - Youth & Social Innovation,Female,School of Education and Human Development,1,1
Continuing Education,1,Economics,Female,College and Graduate School of Arts & Sciences,0,1
Continuing Education,3,Architecture - Urban & Environmental Planning,Female,School of Architecture,0,1
Working,1,Computer Science - Interdisciplinary,Male,College and Graduate School of Arts & Sciences,1,1
Working,0,Economics,Male,College and Graduate School of Arts & Sciences,1,0
Working,3,Engineering - Mechanical Engineering,Male,School of Engineering & Applied Science,1,1
Working,1,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,1,1
Working,0,Economics,Male,College and Graduate School of Arts & Sciences,1,0
Working,2,Media Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Engineering - Biomedical Engineering,Male,School of Engineering & Applied Science,1,1
Military,0,Engineering - Aerospace Engineering,Male,School of Engineering & Applied Science,0,0
Working,1,Engineering - Civil Engineering,Female,School of Engineering & Applied Science,1,1
Continuing Education,0,Physics,Male,College and Graduate School of Arts & Sciences,0,0
Working,2,Statistics,Female,College and Graduate School of Arts & Sciences,1,1
Working,3,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,1,1
Working,3,Engineering - Systems Engineering,Female,School of Engineering & Applied Science,1,1
Working,0,Engineering - Biomedical Engineering,Male,School of Engineering & Applied Science,1,0
Working,0,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,0
Continuing Education,2,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,0,1
Working,1,Biology,Female,College and Graduate School of Arts & Sciences,1,1
Military,0,Engineering - Mechanical Engineering,Male,School of Engineering & Applied Science,0,0
Working,3,Economics,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,0,Chemistry,Female,College and Graduate School of Arts & Sciences,0,0
Working,2,Engineering - Computer Science,Male,School of Engineering & Applied Science,1,1
Working,1,Computer Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Working,1,Environmental Sciences,Male,College and Graduate School of Arts & Sciences,1,1
Working,2,Statistics,Female,College and Graduate School of Arts & Sciences,1,1
Working,2,Statistics,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,3,Biology,Female,College and Graduate School of Arts & Sciences,0,1
Working,2,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,1
Continuing Education,0,Cognitive Science - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,0
Volunteering,0,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,0
Continuing Education,0,Chemistry,Male,College and Graduate School of Arts & Sciences,0,0
Working,3,History,Male,College and Graduate School of Arts & Sciences,1,1
Continuing Education,1,Anthropology,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Spanish,Male,College and Graduate School of Arts & Sciences,1,1
Working,1,Statistics,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,0
Working,3,Engineering - Computer Science,Female,School of Engineering & Applied Science,1,1
Working,0,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,0
Working,1,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,1,1
Working,0,Religious Studies,Female,College and Graduate School of Arts & Sciences,1,0
Continuing Education,1,Anthropology,Female,College and Graduate School of Arts & Sciences,0,1
Continuing Education,2,Statistics,Male,College and Graduate School of Arts & Sciences,0,1
Continuing Education,1,Government,Female,College and Graduate School of Arts & Sciences,0,1
Working,3,Global Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,2,Environmental Sciences,Female,College and Graduate School of Arts & Sciences,0,1
Working,1,Foreign Affairs,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,3,Engineering - Biomedical Engineering,Male,School of Engineering & Applied Science,0,1
Working,3,Economics,Female,College and Graduate School of Arts & Sciences,1,1
Continuing Education,3,Spanish,Female,College and Graduate School of Arts & Sciences,0,1
Military,1,Psychology,Male,College and Graduate School of Arts & Sciences,0,1
Working,2,Statistics,Female,College and Graduate School of Arts & Sciences,1,1
Military,1,Media Studies - Interdisciplinary,Female,College and Graduate School of Arts & Sciences,0,1
